,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,0.35860133216765244,1.6647876591466023e-128,8.775662160136315e-84,1.828848214470631e-39,1.9308356808581852e-97,1.2883281943398828e-41,8.031807303135814e-132
GPAV,0.35860133216765244,,2.2752187195356727e-150,9.236066327663893e-155,1.0094218929312732e-171,2.385136765460362e-141,4.3831084302599616e-167,9.030359435858216e-154
HTD,1.6647876591466023e-128,2.2752187195356727e-150,,3.2431245945260753e-21,7.629008936770256e-175,2.4930347675112934e-57,5.309482275488012e-173,2.484190279426535e-11
TPR-TF,8.775662160136315e-84,9.236066327663893e-155,3.2431245945260753e-21,,1.606734841682711e-184,0.04680899192678313,1.8936674709727e-181,2.2021173974946025e-26
ISO-TPR-TF,1.828848214470631e-39,1.0094218929312732e-171,7.629008936770256e-175,1.606734841682711e-184,,1.2617044327200984e-176,3.1515045443898724e-14,1.590846362341646e-176
TPR-AT,1.9308356808581852e-97,2.385136765460362e-141,2.4930347675112934e-57,0.04680899192678313,1.2617044327200984e-176,,6.723397671277408e-175,2.6036183958904513e-50
ISO-TPR-AT,1.2883281943398828e-41,4.3831084302599616e-167,5.309482275488012e-173,1.8936674709727e-181,3.1515045443898724e-14,6.723397671277408e-175,,1.6673035667856068e-174
TPR-W,8.031807303135814e-132,9.030359435858216e-154,2.484190279426535e-11,2.2021173974946025e-26,1.590846362341646e-176,2.6036183958904513e-50,1.6673035667856068e-174,
