,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,2.463213012498e-39,2.141369235369418e-11,2.811581375639849e-29,7.364425375295494e-62,7.978769122310177e-05,8.34163721999811e-56,2.317539123554591e-11
GPAV,2.463213012498e-39,,1.0457177329014415e-58,1.1616890525762257e-07,2.188815131640051e-14,1.1937942050449083e-26,1.182415282327798e-08,3.25769480092129e-28
HTD,2.141369235369418e-11,1.0457177329014415e-58,,7.299694069671037e-60,1.2380372833967588e-79,1.308308635415647e-38,5.045692886407654e-75,2.5387394060656483e-42
TPR-TF,2.811581375639849e-29,1.1616890525762257e-07,7.299694069671037e-60,,2.797528810074764e-22,1.226157891677998e-22,7.788317844515426e-18,2.2303348766449856e-16
ISO-TPR-TF,7.364425375295494e-62,2.188815131640051e-14,1.2380372833967588e-79,2.797528810074764e-22,,4.1183739213786196e-47,0.08392556681851758,1.952414953840404e-56
TPR-AT,7.978769122310177e-05,1.1937942050449083e-26,1.308308635415647e-38,1.226157891677998e-22,4.1183739213786196e-47,,2.933319164288387e-44,0.2271029832793715
ISO-TPR-AT,8.34163721999811e-56,1.182415282327798e-08,5.045692886407654e-75,7.788317844515426e-18,0.08392556681851758,2.933319164288387e-44,,2.621872966011718e-48
TPR-W,2.317539123554591e-11,3.25769480092129e-28,2.5387394060656483e-42,2.2303348766449856e-16,1.952414953840404e-56,0.2271029832793715,2.621872966011718e-48,
