,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,1.0748900797808101e-86,5.467765963175171e-23,3.5885943930371463e-84,2.879658364018937e-48,1.3378977283153049e-61,2.872354742968295e-58,1.4339052935662672e-67
GPAV,1.0748900797808101e-86,,1.6907608242991763e-12,4.506286320872526e-07,1.4127943201053471e-68,0.5937098587088512,1.3418807587013863e-28,0.20642886032221008
HTD,5.467765963175171e-23,1.6907608242991763e-12,,1.7535194410168463e-23,0.1440189032039179,7.380237245003422e-15,0.001000540087716335,1.9840075330085585e-42
TPR-TF,3.5885943930371463e-84,4.506286320872526e-07,1.7535194410168463e-23,,6.450836749067464e-44,3.377039398764449e-06,9.301696192905918e-22,0.15269487339229165
ISO-TPR-TF,2.879658364018937e-48,1.4127943201053471e-68,0.1440189032039179,6.450836749067464e-44,,2.289062046873577e-16,6.890107296854233e-26,9.228345470119535e-17
TPR-AT,1.3378977283153049e-61,0.5937098587088512,7.380237245003422e-15,3.377039398764449e-06,2.289062046873577e-16,,1.3969856622598132e-07,0.0006165032750829234
ISO-TPR-AT,2.872354742968295e-58,1.3418807587013863e-28,0.001000540087716335,9.301696192905918e-22,6.890107296854233e-26,1.3969856622598132e-07,,5.041060561892401e-10
TPR-W,1.4339052935662672e-67,0.20642886032221008,1.9840075330085585e-42,0.15269487339229165,9.228345470119535e-17,0.0006165032750829234,5.041060561892401e-10,
