,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,5.302002570888858e-133,9.7057298687332e-36,1.71015050860335e-110,4.02099920628831e-140,1.3851649020067933e-83,1.0696932013518254e-140,7.521768713151917e-100
GPAV,5.302002570888858e-133,,3.292636026340808e-139,1.163303619846233e-19,8.525790127788188e-16,1.6867115462418535e-52,0.0035655824231999767,2.4950179000116085e-22
HTD,9.7057298687332e-36,3.292636026340808e-139,,4.142585290962386e-135,1.1936919217043676e-141,2.886108237230522e-121,1.350765253410385e-138,2.1544225411349618e-129
TPR-TF,1.71015050860335e-110,1.163303619846233e-19,4.142585290962386e-135,,5.577453395267473e-35,2.4009279239577754e-34,3.6294555812683547e-25,0.00046728835778938764
ISO-TPR-TF,4.02099920628831e-140,8.525790127788188e-16,1.1936919217043676e-141,5.577453395267473e-35,,3.606094909101335e-71,1.0207083709974273e-09,2.2394382835682762e-38
TPR-AT,1.3851649020067933e-83,1.6867115462418535e-52,2.886108237230522e-121,2.4009279239577754e-34,3.606094909101335e-71,,1.6230907889790394e-60,1.0671884136137678e-15
ISO-TPR-AT,1.0696932013518254e-140,0.0035655824231999767,1.350765253410385e-138,3.6294555812683547e-25,1.0207083709974273e-09,1.6230907889790394e-60,,8.964285818283337e-29
TPR-W,7.521768713151917e-100,2.4950179000116085e-22,2.1544225411349618e-129,0.00046728835778938764,2.2394382835682762e-38,1.0671884136137678e-15,8.964285818283337e-29,
