,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,8.22007855008895e-115,8.679413678395632e-73,8.01819688510478e-107,6.622187722342298e-118,1.0373441809805407e-81,1.111321645963124e-120,1.0711336930469819e-101
GPAV,8.22007855008895e-115,,1.3257292504904087e-06,0.0388822635615991,0.05694089998483213,1.0305072419809004e-06,7.535192159629841e-06,0.009981849643945776
HTD,8.679413678395632e-73,1.3257292504904087e-06,,4.291106387443177e-06,2.08417607790767e-08,0.6229149520661204,7.104020245455197e-10,1.317935575674687e-06
TPR-TF,8.01819688510478e-107,0.0388822635615991,4.291106387443177e-06,,1.6521621326610482e-05,4.201446051258688e-06,7.244356670438972e-07,0.7602264376124584
ISO-TPR-TF,6.622187722342298e-118,0.05694089998483213,2.08417607790767e-08,1.6521621326610482e-05,,7.64007771173591e-09,1.2554455966212828e-05,3.510623840120341e-06
TPR-AT,1.0373441809805407e-81,1.0305072419809004e-06,0.6229149520661204,4.201446051258688e-06,7.64007771173591e-09,,8.91394432580744e-14,2.3986586524971925e-05
ISO-TPR-AT,1.111321645963124e-120,7.535192159629841e-06,7.104020245455197e-10,7.244356670438972e-07,1.2554455966212828e-05,8.91394432580744e-14,,1.4026677648662707e-07
TPR-W,1.0711336930469819e-101,0.009981849643945776,1.317935575674687e-06,0.7602264376124584,3.510623840120341e-06,2.3986586524971925e-05,1.4026677648662707e-07,
