,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,3.4858382331463466e-75,2.095856699145462e-51,7.273879684640085e-22,5.850932863925255e-88,0.2847993569007694,5.746158365888961e-76,7.5308017732204475e-31
GPAV,3.4858382331463466e-75,,7.9676583576028e-160,7.467830596830733e-51,0.12627665936113946,4.8307895734390067e-92,2.543168398159068e-06,1.573214480786476e-42
HTD,2.095856699145462e-51,7.9676583576028e-160,,6.144940159798298e-168,3.678687611569627e-140,1.623466958031039e-89,7.241079512008436e-141,1.0003748342084016e-143
TPR-TF,7.273879684640085e-22,7.467830596830733e-51,6.144940159798298e-168,,2.2664142858662957e-31,9.927511666252338e-36,8.671004337600555e-24,0.031224305614846067
ISO-TPR-TF,5.850932863925255e-88,0.12627665936113946,3.678687611569627e-140,2.2664142858662957e-31,,2.411832408735911e-78,0.03442192030525692,2.323388348212878e-27
TPR-AT,0.2847993569007694,4.8307895734390067e-92,1.623466958031039e-89,9.927511666252338e-36,2.411832408735911e-78,,1.0755300045689348e-77,2.844403833223877e-37
ISO-TPR-AT,5.746158365888961e-76,2.543168398159068e-06,7.241079512008436e-141,8.671004337600555e-24,0.03442192030525692,1.0755300045689348e-77,,1.058800751095e-18
TPR-W,7.5308017732204475e-31,1.573214480786476e-42,1.0003748342084016e-143,0.031224305614846067,2.323388348212878e-27,2.844403833223877e-37,1.058800751095e-18,
