,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,3.157478859357157e-128,7.422840128046168e-29,5.476545030755362e-77,3.3378572506044635e-127,3.7699564015382366e-54,1.6742356028792969e-130,3.7904598983513474e-58
GPAV,3.157478859357157e-128,,7.637524966096681e-158,1.350192569529991e-35,0.0001657649795838063,4.664197252635325e-43,0.017763934698947544,6.818828256091946e-54
HTD,7.422840128046168e-29,7.637524966096681e-158,,1.4398288765527608e-162,4.2837212740659546e-137,2.41306071546195e-140,8.117421419802112e-144,2.660628087846382e-133
TPR-TF,5.476545030755362e-77,1.350192569529991e-35,1.4398288765527608e-162,,5.615757432071077e-16,2.557631960220302e-14,2.215134450284351e-20,6.126146989893994e-13
ISO-TPR-TF,3.3378572506044635e-127,0.0001657649795838063,4.2837212740659546e-137,5.615757432071077e-16,,6.151406461774654e-27,0.008870056950423965,5.47798907467021e-37
TPR-AT,3.7699564015382366e-54,4.664197252635325e-43,2.41306071546195e-140,2.557631960220302e-14,6.151406461774654e-27,,1.7140893373304949e-34,0.38542851129682154
ISO-TPR-AT,1.6742356028792969e-130,0.017763934698947544,8.117421419802112e-144,2.215134450284351e-20,0.008870056950423965,1.7140893373304949e-34,,3.181331424439816e-43
TPR-W,3.7904598983513474e-58,6.818828256091946e-54,2.660628087846382e-133,6.126146989893994e-13,5.47798907467021e-37,0.38542851129682154,3.181331424439816e-43,
