,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,8.24508464753497e-166,7.942933527581394e-21,1.2442483165334003e-131,8.611977980978314e-167,5.5913456634947e-87,7.093370562765803e-166,4.4523862630234946e-123
GPAV,8.24508464753497e-166,,4.329897560219969e-163,1.3992488769977052e-09,2.528622207264642e-56,2.389003349549097e-59,5.045939157159017e-44,5.1737262761470785e-37
HTD,7.942933527581394e-21,4.329897560219969e-163,,1.2478784537844978e-177,8.024534645382698e-138,6.850643900824121e-134,2.524619821313684e-146,8.911185693372922e-155
TPR-TF,1.2442483165334003e-131,1.3992488769977052e-09,1.2478784537844978e-177,,0.0019466113118246323,4.8082941911930754e-48,0.1265211620365564,8.911464294186572e-26
ISO-TPR-TF,8.611977980978314e-167,2.528622207264642e-56,8.024534645382698e-138,0.0019466113118246323,,8.183283867942851e-26,1.8361894949493808e-05,0.012063858892303816
TPR-AT,5.5913456634947e-87,2.389003349549097e-59,6.850643900824121e-134,4.8082941911930754e-48,8.183283867942851e-26,,5.509316219665887e-33,1.7273904078817418e-16
ISO-TPR-AT,7.093370562765803e-166,5.045939157159017e-44,2.524619821313684e-146,0.1265211620365564,1.8361894949493808e-05,5.509316219665887e-33,,2.34030060896995e-06
TPR-W,4.4523862630234946e-123,5.1737262761470785e-37,8.911185693372922e-155,8.911464294186572e-26,0.012063858892303816,1.7273904078817418e-16,2.34030060896995e-06,
