,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,6.2815324256557535e-65,3.2056028187658053e-47,7.262535992782347e-43,1.6511348732131005e-56,0.13686615756385911,5.1094824037890605e-24,2.2048472981355008e-11
GPAV,6.2815324256557535e-65,,3.7074063307828085e-116,3.129207028846027e-05,3.5879663806242068e-06,5.960553669750977e-77,1.469904968118647e-17,3.881647236878059e-25
HTD,3.2056028187658053e-47,3.7074063307828085e-116,,8.447348542870995e-132,2.1033423710356987e-103,1.5162050365580256e-67,1.1312208002683625e-75,1.029748550818701e-181
TPR-TF,7.262535992782347e-43,3.129207028846027e-05,8.447348542870995e-132,,0.8906030040415365,2.74783783011398e-87,3.871723002255092e-06,2.3460986229044965e-30
ISO-TPR-TF,1.6511348732131005e-56,3.5879663806242068e-06,2.1033423710356987e-103,0.8906030040415365,,1.7931613650811614e-60,4.786660693319417e-20,1.2904541870850899e-15
TPR-AT,0.13686615756385911,5.960553669750977e-77,1.5162050365580256e-67,2.74783783011398e-87,1.7931613650811614e-60,,3.575270124236623e-27,7.554371029659296e-27
ISO-TPR-AT,5.1094824037890605e-24,1.469904968118647e-17,1.1312208002683625e-75,3.871723002255092e-06,4.786660693319417e-20,3.575270124236623e-27,,0.0038177033659629327
TPR-W,2.2048472981355008e-11,3.881647236878059e-25,1.029748550818701e-181,2.3460986229044965e-30,1.2904541870850899e-15,7.554371029659296e-27,0.0038177033659629327,
