,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,5.486626744296578e-16,0.9764287257472978,1.350204867579785e-11,1.0965679350871464e-14,0.0003338016332155691,2.1911188126881908e-13,4.8291593137383876e-05
GPAV,5.486626744296578e-16,,8.619136447521752e-16,0.00022363062363322394,0.013560074994879821,3.670377201309191e-14,0.06244466491283462,3.8704848684738836e-07
HTD,0.9764287257472978,8.619136447521752e-16,,1.0268416130650048e-14,3.1828148817424205e-12,8.702707995679327e-07,2.0866169808719703e-10,1.3243303108480696e-15
TPR-TF,1.350204867579785e-11,0.00022363062363322394,1.0268416130650048e-14,,0.2451280411358614,1.8324770856108359e-09,0.04146597477750841,3.8155257302505465e-06
ISO-TPR-TF,1.0965679350871464e-14,0.013560074994879821,3.1828148817424205e-12,0.2451280411358614,,2.083101086006855e-07,0.08150792998899418,0.0001469468140416089
TPR-AT,0.0003338016332155691,3.670377201309191e-14,8.702707995679327e-07,1.8324770856108359e-09,2.083101086006855e-07,,7.131122659454203e-08,0.02889708447443796
ISO-TPR-AT,2.1911188126881908e-13,0.06244466491283462,2.0866169808719703e-10,0.04146597477750841,0.08150792998899418,7.131122659454203e-08,,9.815070400166153e-05
TPR-W,4.8291593137383876e-05,3.8704848684738836e-07,1.3243303108480696e-15,3.8155257302505465e-06,0.0001469468140416089,0.02889708447443796,9.815070400166153e-05,
