,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,4.069723061646377e-27,0.024357427540595573,2.7605206322435626e-24,1.4150916724237203e-26,2.827956665034987e-16,1.419140684744422e-25,2.1791761438588302e-13
GPAV,4.069723061646377e-27,,1.4120821560524247e-18,0.06889760917674957,1.2894510740081018e-07,9.217898516964382e-11,1.270892860315842e-05,0.006374791763969146
HTD,0.024357427540595573,1.4120821560524247e-18,,1.9648520238113034e-19,6.111442324641038e-16,2.9446930538219894e-13,3.8052653238964005e-17,1.9521857768374038e-25
TPR-TF,2.7605206322435626e-24,0.06889760917674957,1.9648520238113034e-19,,0.06639799758600377,1.071179541377714e-11,0.014520494504929534,0.00429702643783721
ISO-TPR-TF,1.4150916724237203e-26,1.2894510740081018e-07,6.111442324641038e-16,0.06639799758600377,,2.8532536602152204e-06,0.4810320937291539,0.19209315983260844
TPR-AT,2.827956665034987e-16,9.217898516964382e-11,2.9446930538219894e-13,1.071179541377714e-11,2.8532536602152204e-06,,8.446991118924772e-05,0.046277725571730405
ISO-TPR-AT,1.419140684744422e-25,1.270892860315842e-05,3.8052653238964005e-17,0.014520494504929534,0.4810320937291539,8.446991118924772e-05,,0.5668001919196931
TPR-W,2.1791761438588302e-13,0.006374791763969146,1.9521857768374038e-25,0.00429702643783721,0.19209315983260844,0.046277725571730405,0.5668001919196931,
