,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,2.3423594205593055e-21,0.016631797256324472,2.401533190618116e-17,9.876139940493093e-23,1.5093635559943828e-17,2.0768920001890684e-21,3.099429953093999e-13
GPAV,2.3423594205593055e-21,,2.463208831180375e-22,3.4353067931142346e-06,6.6183952228450935e-09,4.1362433056441914e-07,4.063321178988453e-08,2.3715175411249515e-09
HTD,0.016631797256324472,2.463208831180375e-22,,5.264774044394893e-25,1.0221314474884798e-18,3.68653069758379e-22,2.900198361770288e-19,6.861734128449283e-26
TPR-TF,2.401533190618116e-17,3.4353067931142346e-06,5.264774044394893e-25,,0.04901083590206909,0.08963500549090124,0.01324300853912505,5.6085799547523975e-09
ISO-TPR-TF,9.876139940493093e-23,6.6183952228450935e-09,1.0221314474884798e-18,0.04901083590206909,,0.08754781663376328,0.06875379038778284,0.0006509167363877469
TPR-AT,1.5093635559943828e-17,4.1362433056441914e-07,3.68653069758379e-22,0.08963500549090124,0.08754781663376328,,0.022785187042704113,1.0610255492864107e-05
ISO-TPR-AT,2.0768920001890684e-21,4.063321178988453e-08,2.900198361770288e-19,0.01324300853912505,0.06875379038778284,0.022785187042704113,,6.260002518629563e-05
TPR-W,3.099429953093999e-13,2.3715175411249515e-09,6.861734128449283e-26,5.6085799547523975e-09,0.0006509167363877469,1.0610255492864107e-05,6.260002518629563e-05,
