,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,7.082678592266622e-08,2.8669429483914933e-05,0.0053854783501202375,2.010328127672373e-08,0.22627206365896724,3.554427268961979e-08,0.16941309632809354
GPAV,7.082678592266622e-08,,1.3771435084375518e-15,6.364119277150275e-05,0.07165008062823865,1.3345844080381326e-07,0.1746671655654759,9.508945501909828e-06
HTD,2.8669429483914933e-05,1.3771435084375518e-15,,7.560621672608786e-17,1.7875317654580572e-13,2.7089471702023824e-12,8.91513112433954e-14,4.306104751757e-19
TPR-TF,0.0053854783501202375,6.364119277150275e-05,7.560621672608786e-17,,0.0014788234410019606,0.0005977982511340075,0.004274140192034369,2.70203840901321e-06
ISO-TPR-TF,2.010328127672373e-08,0.07165008062823865,1.7875317654580572e-13,0.0014788234410019606,,5.190575447471789e-06,0.023829302210511223,0.0004426241858881419
TPR-AT,0.22627206365896724,1.3345844080381326e-07,2.7089471702023824e-12,0.0005977982511340075,5.190575447471789e-06,,3.137752886115489e-07,0.46699209834270017
ISO-TPR-AT,3.554427268961979e-08,0.1746671655654759,8.91513112433954e-14,0.004274140192034369,0.023829302210511223,3.137752886115489e-07,,0.00025056877082837146
TPR-W,0.16941309632809354,9.508945501909828e-06,4.306104751757e-19,2.70203840901321e-06,0.0004426241858881419,0.46699209834270017,0.00025056877082837146,
