,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,4.93800405822659e-07,0.0005676876769653581,7.650010289991458e-09,1.3843451628951218e-07,0.00023405075745141452,2.3401390843736844e-06,5.458964817776779e-05
GPAV,4.93800405822659e-07,,2.2562706117458696e-14,0.25775788199411676,0.7599943155349467,0.5230724246109519,0.6534222940389303,0.11628338248825068
HTD,0.0005676876769653581,2.2562706117458696e-14,,9.453498230931031e-18,3.368375967862162e-13,8.300567073463986e-13,2.717585674958654e-12,1.7159870675531966e-12
TPR-TF,7.650010289991458e-09,0.25775788199411676,9.453498230931031e-18,,0.4945223184014633,0.016404834672201298,0.6327952534344237,0.01105179171739556
ISO-TPR-TF,1.3843451628951218e-07,0.7599943155349467,3.368375967862162e-13,0.4945223184014633,,0.20975423733022358,0.14079144128990215,0.23885338410328372
TPR-AT,0.00023405075745141452,0.5230724246109519,8.300567073463986e-13,0.016404834672201298,0.20975423733022358,,0.03586326605524717,0.777252620721213
ISO-TPR-AT,2.3401390843736844e-06,0.6534222940389303,2.717585674958654e-12,0.6327952534344237,0.14079144128990215,0.03586326605524717,,0.34574959951516504
TPR-W,5.458964817776779e-05,0.11628338248825068,1.7159870675531966e-12,0.01105179171739556,0.23885338410328372,0.777252620721213,0.34574959951516504,
