,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,4.146217466747016e-24,9.38156057917347e-11,2.9173114360635546e-23,4.960375299751814e-20,3.0369426814902976e-18,1.0629321506461304e-19,8.886080137366854e-23
GPAV,4.146217466747016e-24,,0.5999618552204256,1.961971273840597e-09,1.0240959631175629e-15,0.09641491522273594,2.6095189763845757e-12,2.2307693371230149e-10
HTD,9.38156057917347e-11,0.5999618552204256,,0.0001290701489520148,0.02294439163488039,0.2845461497303151,0.13194288819621797,3.3775883862574627e-12
TPR-TF,2.9173114360635546e-23,1.961971273840597e-09,0.0001290701489520148,,1.31714671233477e-19,4.719912109005316e-09,5.280529185473023e-17,1.1024225935267214e-05
ISO-TPR-TF,4.960375299751814e-20,1.0240959631175629e-15,0.02294439163488039,1.31714671233477e-19,,2.4451955080389134e-09,2.1218388194743608e-07,9.73047689626641e-16
TPR-AT,3.0369426814902976e-18,0.09641491522273594,0.2845461497303151,4.719912109005316e-09,2.4451955080389134e-09,,2.2586920281157606e-07,1.9333740839560547e-11
ISO-TPR-AT,1.0629321506461304e-19,2.6095189763845757e-12,0.13194288819621797,5.280529185473023e-17,2.1218388194743608e-07,2.2586920281157606e-07,,2.00988251173817e-15
TPR-W,8.886080137366854e-23,2.2307693371230149e-10,3.3775883862574627e-12,1.1024225935267214e-05,9.73047689626641e-16,1.9333740839560547e-11,2.00988251173817e-15,
