algo	onto	flat	HTD	GPAV	TPR-DAGthreshold.free	ISO-TPRthreshold.free	TPR-DAGthreshold	ISO-TPRthreshold	TPR-W
ranger	BP	[0.0711, 0.0021, 0]	[0.0668, 0.0021, 0.2618]	[0.0745, 0.0022, 0.0]	[0.0737, 0.0022, 0.0]	[0.0734, 0.0022, 0.0]	[0.0736, 0.0022, 0.0]	[0.0744, 0.0022, 0.0]	[0.0727, 0.0022, 0.0]
ranger	MF	[0.134, 0.0082, 0]	[0.1338, 0.0085, 0.4838]	[0.1395, 0.0087, 0.0]	[0.141, 0.0086, 0.0]	[0.1383, 0.0084, 0.0004]	[0.1408, 0.0089, 0.0]	[0.139, 0.0083, 0.0]	[0.1388, 0.0086, 0.0003]
ranger	CC	[0.1053, 0.007, 0]	[0.0999, 0.007, 0.6524]	[0.1114, 0.0071, 0.0]	[0.11, 0.007, 0.0]	[0.1097, 0.0069, 0.0]	[0.1073, 0.007, 0.0159]	[0.1109, 0.007, 0.0]	[0.1074, 0.0071, 0.0007]
