algo	onto	flat	HTD	GPAV	TPR-DAGthreshold.free	ISO-TPRthreshold.free	TPR-DAGthreshold	ISO-TPRthreshold	TPR-W
xgbLinear	BP	[0.2255, 0.0041, 0]	[0.1971, 0.0039, 0.0]	[0.259, 0.0044, 0.0]	[0.2511, 0.0043, 0.0]	[0.2565, 0.0043, 0.0]	[0.2475, 0.0043, 0.0]	[0.2574, 0.0043, 0.0]	[0.2463, 0.0042, 0.0]
xgbLinear	MF	[0.1853, 0.0094, 0]	[0.1808, 0.0104, 0.9764]	[0.2114, 0.01, 0.0]	[0.2055, 0.0101, 0.0]	[0.2072, 0.0098, 0.0]	[0.197, 0.0101, 0.0003]	[0.2065, 0.0098, 0.0]	[0.1976, 0.0102, 0.0]
xgbLinear	CC	[0.25, 0.0116, 0]	[0.2305, 0.0118, 0.0003]	[0.2739, 0.012, 0.0]	[0.2635, 0.0119, 0.0]	[0.2751, 0.0122, 0.0]	[0.2545, 0.0119, 0.0049]	[0.2765, 0.0121, 0.0]	[0.2558, 0.0118, 0.0003]
