algo	onto	flat	HTD	GPAV	TPR-DAGthreshold.free	ISO-TPRthreshold.free	TPR-DAGthreshold	ISO-TPRthreshold	TPR-W
ranger	BP	[0.2531, 0.0047, 0]	[0.2115, 0.004, 0.0]	[0.2738, 0.0046, 0.0]	[0.2618, 0.0045, 0.0]	[0.274, 0.0046, 0.0]	[0.2532, 0.0044, 0.2848]	[0.2727, 0.0046, 0.0]	[0.2632, 0.0044, 0.0]
ranger	MF	[0.2089, 0.0098, 0]	[0.1996, 0.0102, 0.6759]	[0.2231, 0.0103, 0.0]	[0.2245, 0.0106, 0.0]	[0.2208, 0.01, 0.0]	[0.2158, 0.0097, 0.0013]	[0.2229, 0.0101, 0.0]	[0.228, 0.0105, 0.0]
ranger	CC	[0.2962, 0.0127, 0]	[0.2581, 0.0124, 0.0]	[0.3139, 0.0127, 0.0]	[0.3015, 0.0126, 0.0008]	[0.3149, 0.0128, 0.0]	[0.2933, 0.0123, 0.5494]	[0.3115, 0.0128, 0.0]	[0.3041, 0.013, 0.0]
