algo	onto	flat	HTD	GPAV	TPR-DAGthreshold.free	ISO-TPRthreshold.free	TPR-DAGthreshold	ISO-TPRthreshold	TPR-W
xgbLinear	BP	[0.0515, 0.0016, 0]	[0.0548, 0.0017, 0.0]	[0.0581, 0.0018, 0.0]	[0.0589, 0.0018, 0.0]	[0.0558, 0.0017, 0.0]	[0.0582, 0.0018, 0.0]	[0.0565, 0.0018, 0.0]	[0.0589, 0.0018, 0.0]
xgbLinear	MF	[0.0948, 0.0068, 0]	[0.103, 0.0074, 0.0]	[0.1049, 0.0071, 0.0]	[0.1095, 0.0075, 0.0]	[0.1039, 0.0072, 0.0]	[0.1061, 0.0074, 0.0]	[0.1051, 0.0072, 0.0]	[0.1065, 0.0076, 0.0]
xgbLinear	CC	[0.0823, 0.0061, 0]	[0.0858, 0.0061, 0.0141]	[0.0948, 0.0065, 0.0]	[0.0939, 0.0064, 0.0]	[0.0924, 0.0065, 0.0]	[0.0866, 0.0062, 0.0006]	[0.0939, 0.0065, 0.0]	[0.0893, 0.0062, 0.0]
