,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,0.7015843227413534,0.4480450665629159,0.289541516601891,0.505750073728394,0.004298264182531216,0.01639537308185556,0.22116813953514136
GPAV,0.7015843227413534,,0.5802744639307496,0.5202140133543423,0.007676006676945766,0.06884215238327228,0.025756334842585896,0.5064553945817233
HTD,0.4480450665629159,0.5802744639307496,,0.20167623770083365,0.0659836905167263,0.009304281397895128,0.0018718249357296897,0.03540208834706061
TPR-TF,0.289541516601891,0.5202140133543423,0.20167623770083365,,0.8465957481035464,0.028711373452941863,0.03994716005025018,0.35042234142387385
ISO-TPR-TF,0.505750073728394,0.007676006676945766,0.0659836905167263,0.8465957481035464,,0.2010513215982852,0.09691557043788208,0.8577915438762937
TPR-AT,0.004298264182531216,0.06884215238327228,0.009304281397895128,0.028711373452941863,0.2010513215982852,,0.39492453655418014,0.17673009922073435
ISO-TPR-AT,0.01639537308185556,0.025756334842585896,0.0018718249357296897,0.03994716005025018,0.09691557043788208,0.39492453655418014,,0.022359202871448824
TPR-W,0.22116813953514136,0.5064553945817233,0.03540208834706061,0.35042234142387385,0.8577915438762937,0.17673009922073435,0.022359202871448824,
