,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,9.7109319533935e-07,1.516904158355032e-06,0.007992992938587103,2.9514061626072133e-06,0.0034176338155699117,4.95921194460851e-09,2.0658072243516852e-10
GPAV,9.7109319533935e-07,,3.2100961675906396e-13,3.184651296156126e-07,0.05631327711402605,0.01878439607945055,3.2100735059864857e-09,0.856434100144592
HTD,1.516904158355032e-06,3.2100961675906396e-13,,4.973176287609975e-13,7.330170958466397e-13,6.997767766725693e-13,1.7577872273563473e-14,1.0168491236599175e-15
TPR-TF,0.007992992938587103,3.184651296156126e-07,4.973176287609975e-13,,3.5023075371754714e-07,0.12527125221591603,9.966679743003832e-11,5.212503356455031e-15
ISO-TPR-TF,2.9514061626072133e-06,0.05631327711402605,7.330170958466397e-13,3.5023075371754714e-07,,0.02867610636005766,5.692140864282001e-10,0.9864942606162678
TPR-AT,0.0034176338155699117,0.01878439607945055,6.997767766725693e-13,0.12527125221591603,0.02867610636005766,,0.0005059373142328527,0.012567909215577704
ISO-TPR-AT,4.95921194460851e-09,3.2100735059864857e-09,1.7577872273563473e-14,9.966679743003832e-11,5.692140864282001e-10,0.0005059373142328527,,0.014527728678087846
TPR-W,2.0658072243516852e-10,0.856434100144592,1.0168491236599175e-15,5.212503356455031e-15,0.9864942606162678,0.012567909215577704,0.014527728678087846,
