,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,1.7469706196498603e-24,1.1549912485879638e-13,7.296169155173424e-23,1.992861041115916e-24,0.9431033788230426,4.522030656039891e-24,7.612073045625314e-23
GPAV,1.7469706196498603e-24,,1.3317487751338242e-26,0.004266010998839142,0.016082057307772745,1.1462487461143242e-20,6.895043816760816e-10,0.00012728115134935514
HTD,1.1549912485879638e-13,1.3317487751338242e-26,,6.40929969961643e-27,6.633500115110214e-27,9.091270093155487e-28,1.5977790035025033e-26,4.142803158674673e-27
TPR-TF,7.296169155173424e-23,0.004266010998839142,6.40929969961643e-27,,0.3701940749509043,1.5391555782423658e-20,0.094215220066812,0.39687267223209965
ISO-TPR-TF,1.992861041115916e-24,0.016082057307772745,6.633500115110214e-27,0.3701940749509043,,1.1767226545122707e-20,0.11211700493581969,0.023941396298415196
TPR-AT,0.9431033788230426,1.1462487461143242e-20,9.091270093155487e-28,1.5391555782423658e-20,1.1767226545122707e-20,,1.5082322076128032e-20,6.50955141705647e-21
ISO-TPR-AT,4.522030656039891e-24,6.895043816760816e-10,1.5977790035025033e-26,0.094215220066812,0.11211700493581969,1.5082322076128032e-20,,0.014276694349255312
TPR-W,7.612073045625314e-23,0.00012728115134935514,4.142803158674673e-27,0.39687267223209965,0.023941396298415196,6.50955141705647e-21,0.014276694349255312,
