,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,2.5193613970519303e-35,0.25019358095830324,4.753352853768674e-34,2.4399856509761012e-30,3.500076295009505e-14,4.389657986856159e-32,3.201846236882313e-31
GPAV,2.5193613970519303e-35,,1.467228828855311e-34,6.25732635565038e-07,2.0888709006109415e-20,5.817478524364933e-30,7.441280888859433e-16,9.825036608256476e-19
HTD,0.25019358095830324,1.467228828855311e-34,,9.553846156628428e-30,4.35027771094764e-25,2.00190587640923e-15,1.7695030952800228e-25,1.1356864053097897e-24
TPR-TF,4.753352853768674e-34,6.25732635565038e-07,9.553846156628428e-30,,0.0014748385134808572,5.134103455100682e-26,0.2108016096795181,3.2202779270040375e-10
ISO-TPR-TF,2.4399856509761012e-30,2.0888709006109415e-20,4.35027771094764e-25,0.0014748385134808572,,2.900772576796236e-14,0.007898640552232623,0.028057031513412566
TPR-AT,3.500076295009505e-14,5.817478524364933e-30,2.00190587640923e-15,5.134103455100682e-26,2.900772576796236e-14,,2.0606738567421144e-17,3.681857381427045e-16
ISO-TPR-AT,4.389657986856159e-32,7.441280888859433e-16,1.7695030952800228e-25,0.2108016096795181,0.007898640552232623,2.0606738567421144e-17,,5.533579683132008e-05
TPR-W,3.201846236882313e-31,9.825036608256476e-19,1.1356864053097897e-24,3.2202779270040375e-10,0.028057031513412566,3.681857381427045e-16,5.533579683132008e-05,
