,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,7.539107917157381e-28,1.1071004418097175e-34,1.7776642535474538e-27,6.6345000509972205e-28,0.006738535823740668,1.5312846691367251e-27,2.1731479151998726e-27
GPAV,7.539107917157381e-28,,5.990474208526399e-37,5.967413667150717e-05,3.8490938741312054e-17,2.6718465711889948e-30,4.183793948692301e-24,2.4527662538427998e-23
HTD,1.1071004418097175e-34,5.990474208526399e-37,,5.990474208526399e-37,5.990474208526399e-37,3.132518917946538e-36,5.990474208526399e-37,5.990474208526399e-37
TPR-TF,1.7776642535474538e-27,5.967413667150717e-05,5.990474208526399e-37,,0.2622933218143516,3.0181603887399436e-30,0.00416810887863815,2.376848633162966e-13
ISO-TPR-TF,6.6345000509972205e-28,3.8490938741312054e-17,5.990474208526399e-37,0.2622933218143516,,3.579021973507113e-30,1.2618983921505934e-06,1.2602849252164272e-19
TPR-AT,0.006738535823740668,2.6718465711889948e-30,3.132518917946538e-36,3.0181603887399436e-30,3.579021973507113e-30,,3.2867385785678366e-30,3.9447566276202345e-30
ISO-TPR-AT,1.5312846691367251e-27,4.183793948692301e-24,5.990474208526399e-37,0.00416810887863815,1.2618983921505934e-06,3.2867385785678366e-30,,3.842149251397591e-11
TPR-W,2.1731479151998726e-27,2.4527662538427998e-23,5.990474208526399e-37,2.376848633162966e-13,1.2602849252164272e-19,3.9447566276202345e-30,3.842149251397591e-11,
