,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,2.462346052145581e-07,7.721733457731491e-10,0.9175658009736238,2.0780577772084785e-05,7.281734940928906e-05,1.6313584385803827e-06,1.178592021135139e-10
GPAV,2.462346052145581e-07,,1.3976831082364763e-15,8.00241639899564e-07,0.01501602408476319,0.07881276151483257,0.00986466013043646,0.533184270065657
HTD,7.721733457731491e-10,1.3976831082364763e-15,,4.061965644900896e-10,6.714989698212097e-16,9.572890451566642e-16,7.5155799264663e-16,9.43810480046171e-19
TPR-TF,0.9175658009736238,8.00241639899564e-07,4.061965644900896e-10,,1.616667986418925e-05,2.0473466352738137e-09,4.885278973183198e-07,7.112234324779546e-08
ISO-TPR-TF,2.0780577772084785e-05,0.01501602408476319,6.714989698212097e-16,1.616667986418925e-05,,0.517897411994173,0.6183197866248027,0.40445491866002714
TPR-AT,7.281734940928906e-05,0.07881276151483257,9.572890451566642e-16,2.0473466352738137e-09,0.517897411994173,,0.524122970108081,0.00954029225654573
ISO-TPR-AT,1.6313584385803827e-06,0.00986466013043646,7.5155799264663e-16,4.885278973183198e-07,0.6183197866248027,0.524122970108081,,0.48104841006836496
TPR-W,1.178592021135139e-10,0.533184270065657,9.43810480046171e-19,7.112234324779546e-08,0.40445491866002714,0.00954029225654573,0.48104841006836496,
