AUROC	GPAV	HTD	TPR-TF	ISO-TPR-TF	TPR-AT	ISO-TPR-AT	TPR-W	SommeXrighe
adaboost	3	0	3	3	1	3	3	16
C5.0	3	2	3	3	3	3	3	20
glmnet	1	0	0	1	0	0	0	2
kknn	3	0	3	3	2	3	3	17
lda	3	0	3	3	3	3	3	18
LogitBoost	3	0	3	3	0	3	3	15
mlp	3	0	3	3	0	3	2	14
naive_bayes	3	0	3	3	3	3	3	18
ranger	3	0	3	3	0	3	3	15
svmLinear2	3	0	3	3	0	3	2	14
treebag	3	0	3	3	0	3	3	15
xgbLinear	3	0	3	3	3	3	3	18
SommeXcolonne	34	2	33	34	15	33	31	
