,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,5.733315441216747e-23,0.01408147773830617,1.0138094607815002e-20,7.538384503599204e-20,0.0005989271283147996,4.390957675455327e-21,1.9260285160074698e-07
GPAV,5.733315441216747e-23,,1.7222763462851094e-09,0.5670718141543001,6.247732785181876e-11,3.534858495798884e-09,1.1930875999861937e-07,3.149162076906555e-07
HTD,0.01408147773830617,1.7222763462851094e-09,,1.6498450357659948e-11,3.6426340565219455e-06,0.6837669294703066,7.450049494973776e-07,1.008481438425492e-18
TPR-TF,1.0138094607815002e-20,0.5670718141543001,1.6498450357659948e-11,,0.00019033602835874413,4.059783979789919e-12,0.10920257835471459,6.390063820102052e-09
ISO-TPR-TF,7.538384503599204e-20,6.247732785181876e-11,3.6426340565219455e-06,0.00019033602835874413,,1.0352495059313254e-05,0.0005221250342181686,0.0028104250881784702
TPR-AT,0.0005989271283147996,3.534858495798884e-09,0.6837669294703066,4.059783979789919e-12,1.0352495059313254e-05,,8.956647414712517e-07,1.3104636532872993e-06
ISO-TPR-AT,4.390957675455327e-21,1.1930875999861937e-07,7.450049494973776e-07,0.10920257835471459,0.0005221250342181686,8.956647414712517e-07,,0.00035032479844053716
TPR-W,1.9260285160074698e-07,3.149162076906555e-07,1.008481438425492e-18,6.390063820102052e-09,0.0028104250881784702,1.3104636532872993e-06,0.00035032479844053716,
