,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,0.7317588677799686,9.700627621114067e-09,0.5352718963233685,0.9527552961071224,0.08347643922695779,0.002889240963538431,0.009336880257108512
GPAV,0.7317588677799686,,8.439699556408067e-07,0.0019567533379451973,0.5843939877572591,0.08830412987946772,1.7346484469726308e-13,0.10059186447702392
HTD,9.700627621114067e-09,8.439699556408067e-07,,3.821517516817586e-10,2.020465044614846e-05,1.1803768041208779e-16,6.542590870677262e-16,8.876285275014786e-17
TPR-TF,0.5352718963233685,0.0019567533379451973,3.821517516817586e-10,,0.009898220644788649,1.480195939864897e-07,6.376741091615278e-13,6.15046960370912e-17
ISO-TPR-TF,0.9527552961071224,0.5843939877572591,2.020465044614846e-05,0.009898220644788649,,0.026442519339599017,1.2900240680082697e-16,0.01841391466642345
TPR-AT,0.08347643922695779,0.08830412987946772,1.1803768041208779e-16,1.480195939864897e-07,0.026442519339599017,,0.0008344320117066143,0.46667913275848316
ISO-TPR-AT,0.002889240963538431,1.7346484469726308e-13,6.542590870677262e-16,6.376741091615278e-13,1.2900240680082697e-16,0.0008344320117066143,,1.1693398273824646e-05
TPR-W,0.009336880257108512,0.10059186447702392,8.876285275014786e-17,6.15046960370912e-17,0.01841391466642345,0.46667913275848316,1.1693398273824646e-05,
