,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,1.230619212801126e-13,1.8207791995310414e-06,1.3438252308288157e-13,6.981471596875276e-18,1.8057749200002895e-12,1.211485861453739e-16,2.394052065765753e-10
GPAV,1.230619212801126e-13,,2.6347602691949656e-08,2.5292758048696956e-08,0.0327312458484292,0.04149055875232934,0.21425673141820756,1.4745236301052271e-08
HTD,1.8207791995310414e-06,2.6347602691949656e-08,,2.6222597153620604e-06,6.700623807347806e-11,4.2719946843741374e-05,6.162717739466745e-05,0.00020459222988508145
TPR-TF,1.3438252308288157e-13,2.5292758048696956e-08,2.6222597153620604e-06,,4.741042094176606e-13,0.16338978594823683,0.0034700846388115133,0.00027447242959056006
ISO-TPR-TF,6.981471596875276e-18,0.0327312458484292,6.700623807347806e-11,4.741042094176606e-13,,0.0057487338333132515,0.8889643692982491,2.4705264934286247e-13
TPR-AT,1.8057749200002895e-12,0.04149055875232934,4.2719946843741374e-05,0.16338978594823683,0.0057487338333132515,,0.002389951539102376,3.4890901767238924e-05
ISO-TPR-AT,1.211485861453739e-16,0.21425673141820756,6.162717739466745e-05,0.0034700846388115133,0.8889643692982491,0.002389951539102376,,0.000503416453919679
TPR-W,2.394052065765753e-10,1.4745236301052271e-08,0.00020459222988508145,0.00027447242959056006,2.4705264934286247e-13,3.4890901767238924e-05,0.000503416453919679,
