,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,1.8963037429243053e-13,1.8030772191479506e-05,7.093768227438263e-11,1.4638454134785779e-09,0.7130801738467409,0.2537776481972228,0.00014335471492586194
GPAV,1.8963037429243053e-13,,5.62762404489181e-18,0.9669012422472572,2.271902277048823e-07,3.798454266553862e-09,1.054757448042809e-13,6.834580027540289e-10
HTD,1.8030772191479506e-05,5.62762404489181e-18,,3.1706906091262956e-24,1.1677597023715324e-13,1.1680783757858286e-08,6.731698291738489e-06,8.876499651894417e-13
TPR-TF,7.093768227438263e-11,0.9669012422472572,3.1706906091262956e-24,,0.000903886363623343,2.278878081835168e-09,1.8375473188661142e-09,1.124591650550315e-06
ISO-TPR-TF,1.4638454134785779e-09,2.271902277048823e-07,1.1677597023715324e-13,0.000903886363623343,,0.0002071256265027814,4.291475038211507e-08,0.004583969581978894
TPR-AT,0.7130801738467409,3.798454266553862e-09,1.1680783757858286e-08,2.278878081835168e-09,0.0002071256265027814,,0.50210075420867,0.004379567791336642
ISO-TPR-AT,0.2537776481972228,1.054757448042809e-13,6.731698291738489e-06,1.8375473188661142e-09,4.291475038211507e-08,0.50210075420867,,0.009319958583431254
TPR-W,0.00014335471492586194,6.834580027540289e-10,8.876499651894417e-13,1.124591650550315e-06,0.004583969581978894,0.004379567791336642,0.009319958583431254,
