,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,2.415137772286907e-09,0.0048826549709822704,0.00022798943391046987,5.293956282136696e-08,1.1478528865332777e-07,1.3173491558951965e-10,1.6911713958084937e-10
GPAV,2.415137772286907e-09,,2.029816773687133e-12,0.007558749769916421,0.018321322770875767,0.1091347825124878,0.1468045876870601,0.07672594137254675
HTD,0.0048826549709822704,2.029816773687133e-12,,6.641732693983479e-10,4.5415086250386236e-12,9.328298292895158e-16,1.1723073221290614e-12,4.1975353561842876e-16
TPR-TF,0.00022798943391046987,0.007558749769916421,6.641732693983479e-10,,0.0912731776277237,0.0008992153551383522,0.004594117979543597,0.0036083488066397168
ISO-TPR-TF,5.293956282136696e-08,0.018321322770875767,4.5415086250386236e-12,0.0912731776277237,,0.7957517533472138,0.36631915479482857,0.8564340902100896
TPR-AT,1.1478528865332777e-07,0.1091347825124878,9.328298292895158e-16,0.0008992153551383522,0.7957517533472138,,0.24647177473666682,0.016464638352061488
ISO-TPR-AT,1.3173491558951965e-10,0.1468045876870601,1.1723073221290614e-12,0.004594117979543597,0.36631915479482857,0.24647177473666682,,0.10437465387175494
TPR-W,1.6911713958084937e-10,0.07672594137254675,4.1975353561842876e-16,0.0036083488066397168,0.8564340902100896,0.016464638352061488,0.10437465387175494,
