,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,0.02308166110185948,0.8009893006710747,0.8241653421323185,0.22451625476950055,0.14084963713656906,0.8517350729117241,0.8379253846249859
GPAV,0.02308166110185948,,0.11184258923795315,0.1707172823188251,0.02043786602222493,0.005286946285950346,0.042047733467505455,0.08650628329630601
HTD,0.8009893006710747,0.11184258923795315,,0.2493381471011057,0.8824790102312527,0.18957715865879132,0.4786494950191259,0.27624797278429036
TPR-TF,0.8241653421323185,0.1707172823188251,0.2493381471011057,,0.5937405712054529,0.034540916344938055,0.3509996178081951,0.17744773766739885
ISO-TPR-TF,0.22451625476950055,0.02043786602222493,0.8824790102312527,0.5937405712054529,,0.06450841781268313,0.08582546119003205,0.6563681904732663
TPR-AT,0.14084963713656906,0.005286946285950346,0.18957715865879132,0.034540916344938055,0.06450841781268313,,0.8138804169448502,0.18847408719480763
ISO-TPR-AT,0.8517350729117241,0.042047733467505455,0.4786494950191259,0.3509996178081951,0.08582546119003205,0.8138804169448502,,0.532187363523194
TPR-W,0.8379253846249859,0.08650628329630601,0.27624797278429036,0.17744773766739885,0.6563681904732663,0.18847408719480763,0.532187363523194,
