,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,8.423152684099425e-13,0.6523561487913723,2.558715353506403e-08,1.3814221316722204e-07,0.01594870203469852,1.699897587838369e-09,0.0007131048209922688
GPAV,8.423152684099425e-13,,1.1218648989644951e-07,0.7557646875562859,3.2307902737950665e-09,0.00042825822120001245,0.0006813488119931207,0.009867943188602863
HTD,0.6523561487913723,1.1218648989644951e-07,,1.7506540970883888e-10,0.0006178934270590562,0.0008342300088694594,9.95535646209534e-06,1.0261094440805664e-14
TPR-TF,2.558715353506403e-08,0.7557646875562859,1.7506540970883888e-10,,0.015223622980278191,0.0001321077001541891,0.3512932082183964,0.001537008211843395
ISO-TPR-TF,1.3814221316722204e-07,3.2307902737950665e-09,0.0006178934270590562,0.015223622980278191,,0.26525471117638055,1.784953589005792e-08,0.7373377752877996
TPR-AT,0.01594870203469852,0.00042825822120001245,0.0008342300088694594,0.0001321077001541891,0.26525471117638055,,0.012198001637028869,0.130839155106738
ISO-TPR-AT,1.699897587838369e-09,0.0006813488119931207,9.95535646209534e-06,0.3512932082183964,1.784953589005792e-08,0.012198001637028869,,0.24882729477662935
TPR-W,0.0007131048209922688,0.009867943188602863,1.0261094440805664e-14,0.001537008211843395,0.7373377752877996,0.130839155106738,0.24882729477662935,
