,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,0.0037450066454711305,1.3943465008198846e-23,2.0218790174211334e-14,2.9717013973168238e-05,1.066123615592266e-15,0.003899464442572234,7.855500231033853e-26
GPAV,0.0037450066454711305,,1.4369505774600824e-20,1.086541059647397e-17,1.1748471231815087e-34,5.045601224975701e-14,2.4715835106400203e-29,5.744478683274619e-22
HTD,1.3943465008198846e-23,1.4369505774600824e-20,,0.08929599082955174,6.019675582301826e-33,1.929669851645763e-10,4.331308135954992e-32,4.721364893964654e-05
TPR-TF,2.0218790174211334e-14,1.086541059647397e-17,0.08929599082955174,,1.4641782462314587e-32,0.07158512512031015,2.7130919452668234e-31,0.000484408937083175
ISO-TPR-TF,2.9717013973168238e-05,1.1748471231815087e-34,6.019675582301826e-33,1.4641782462314587e-32,,6.211523884430472e-31,1.3381474418031582e-24,3.0211037959272836e-33
TPR-AT,1.066123615592266e-15,5.045601224975701e-14,1.929669851645763e-10,0.07158512512031015,6.211523884430472e-31,,3.092364729241395e-30,3.987072780914352e-14
ISO-TPR-AT,0.003899464442572234,2.4715835106400203e-29,4.331308135954992e-32,2.7130919452668234e-31,1.3381474418031582e-24,3.092364729241395e-30,,1.0802227056949951e-32
TPR-W,7.855500231033853e-26,5.744478683274619e-22,4.721364893964654e-05,0.000484408937083175,3.0211037959272836e-33,3.987072780914352e-14,1.0802227056949951e-32,
