,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,1.0536889532682175e-35,5.658305214897908e-16,6.940450496925096e-31,1.5867660334294485e-34,3.9935503854546334e-17,2.958423914138705e-29,1.0451484280619606e-22
GPAV,1.0536889532682175e-35,,1.6830846221319742e-27,5.62027739342701e-23,4.5558729481422735e-15,4.810117155030776e-10,0.0010468097804419547,1.2431706467404843e-25
HTD,5.658305214897908e-16,1.6830846221319742e-27,,2.3310000195555265e-18,4.661072351780098e-25,0.7477352052404871,9.258290788047973e-05,5.336941599352025e-07
TPR-TF,6.940450496925096e-31,5.62027739342701e-23,2.3310000195555265e-18,,6.51788456770945e-19,0.00021400303631952656,0.5366659132984642,6.318200402985252e-17
ISO-TPR-TF,1.5867660334294485e-34,4.5558729481422735e-15,4.661072351780098e-25,6.51788456770945e-19,,1.3040088541654442e-07,0.09649418557533372,4.8509077211042735e-25
TPR-AT,3.9935503854546334e-17,4.810117155030776e-10,0.7477352052404871,0.00021400303631952656,1.3040088541654442e-07,,1.6412740677098497e-07,0.10437467811903288
ISO-TPR-AT,2.958423914138705e-29,0.0010468097804419547,9.258290788047973e-05,0.5366659132984642,0.09649418557533372,1.6412740677098497e-07,,0.007295469584026219
TPR-W,1.0451484280619606e-22,1.2431706467404843e-25,5.336941599352025e-07,6.318200402985252e-17,4.8509077211042735e-25,0.10437467811903288,0.007295469584026219,
