,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,5.265805102643336e-24,1.4292230596226258e-10,4.474205782464752e-12,2.893608775239584e-28,8.224790278785009e-12,9.699636356631027e-30,1.148189625289221e-07
GPAV,5.265805102643336e-24,,2.2222625651671218e-32,1.0746088288398186e-21,0.07740550072963036,3.277372408266137e-15,0.9901589439156099,2.903932753535663e-22
HTD,1.4292230596226258e-10,2.2222625651671218e-32,,7.71131601513946e-32,1.1919497279417006e-30,7.71131601513946e-32,5.09943866362987e-31,4.343033797633489e-31
TPR-TF,4.474205782464752e-12,1.0746088288398186e-21,7.71131601513946e-32,,1.0146556798138426e-16,0.6892169754215705,7.929640692298177e-14,9.601156080301102e-12
ISO-TPR-TF,2.893608775239584e-28,0.07740550072963036,1.1919497279417006e-30,1.0146556798138426e-16,,2.673840612244772e-15,0.07609365114795577,2.7035511110788696e-19
TPR-AT,8.224790278785009e-12,3.277372408266137e-15,7.71131601513946e-32,0.6892169754215705,2.673840612244772e-15,,2.177254263622854e-14,6.444872157453381e-06
ISO-TPR-AT,9.699636356631027e-30,0.9901589439156099,5.09943866362987e-31,7.929640692298177e-14,0.07609365114795577,2.177254263622854e-14,,2.2569576590427366e-17
TPR-W,1.148189625289221e-07,2.903932753535663e-22,4.343033797633489e-31,9.601156080301102e-12,2.7035511110788696e-19,6.444872157453381e-06,2.2569576590427366e-17,
