,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,1.6112199850230336e-30,3.9160807569770024e-14,7.234189584083932e-26,2.748512150323877e-29,2.1712569649014013e-13,7.042436366174137e-28,1.4822547362759173e-19
GPAV,1.6112199850230336e-30,,3.542352633063117e-32,3.2398166925476177e-06,8.02090088867226e-05,2.198425065806876e-19,3.9968176292398925e-07,1.0196547349509028e-22
HTD,3.9160807569770024e-14,3.542352633063117e-32,,1.1097831556802541e-33,3.803146087042598e-29,2.117862437033228e-28,3.2169544474624263e-29,6.418512161490664e-26
TPR-TF,7.234189584083932e-26,3.2398166925476177e-06,1.1097831556802541e-33,,0.25395942222694823,2.9941938843184314e-20,0.8431856827503513,2.8770304432500976e-07
ISO-TPR-TF,2.748512150323877e-29,8.02090088867226e-05,3.803146087042598e-29,0.25395942222694823,,7.084608807597182e-12,0.005129560723375622,3.10502609570196e-19
TPR-AT,2.1712569649014013e-13,2.198425065806876e-19,2.117862437033228e-28,2.9941938843184314e-20,7.084608807597182e-12,,5.17425990188515e-09,0.0339207292293142
ISO-TPR-AT,7.042436366174137e-28,3.9968176292398925e-07,3.2169544474624263e-29,0.8431856827503513,0.005129560723375622,5.17425990188515e-09,,2.680664779026428e-12
TPR-W,1.4822547362759173e-19,1.0196547349509028e-22,6.418512161490664e-26,2.8770304432500976e-07,3.10502609570196e-19,0.0339207292293142,2.680664779026428e-12,
