,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,1.8578786535425844e-31,9.017241862478292e-11,3.4474011828380718e-28,5.854974095926488e-32,2.3857629378386857e-24,2.29248770280659e-31,6.122783928778333e-23
GPAV,1.8578786535425844e-31,,7.42718577660068e-32,6.440331185870379e-08,0.005260402292604686,6.2208150886454066e-12,4.1120936255676265e-05,5.591505211034825e-15
HTD,9.017241862478292e-11,7.42718577660068e-32,,3.6785905764036536e-32,5.559491359581184e-31,4.236999430995499e-31,8.66131611396205e-31,4.4342644112399906e-36
TPR-TF,3.4474011828380718e-28,6.440331185870379e-08,3.6785905764036536e-32,,0.00045064230626337253,7.744402076386819e-10,0.0018112094436412713,4.144902056058943e-12
ISO-TPR-TF,5.854974095926488e-32,0.005260402292604686,5.559491359581184e-31,0.00045064230626337253,,1.6249906736193187e-09,0.011980469067062734,5.551219077380497e-09
TPR-AT,2.3857629378386857e-24,6.2208150886454066e-12,4.236999430995499e-31,7.744402076386819e-10,1.6249906736193187e-09,,9.376472267225759e-08,0.10812366267101794
ISO-TPR-AT,2.29248770280659e-31,4.1120936255676265e-05,8.66131611396205e-31,0.0018112094436412713,0.011980469067062734,9.376472267225759e-08,,3.390139102079286e-09
TPR-W,6.122783928778333e-23,5.591505211034825e-15,4.4342644112399906e-36,4.144902056058943e-12,5.551219077380497e-09,0.10812366267101794,3.390139102079286e-09,
