,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,2.976267861697859e-19,0.0002936654641507663,9.978210866453136e-09,6.050767634216224e-23,0.004857224117480438,2.855028605641932e-23,0.0003001957735972008
GPAV,2.976267861697859e-19,,4.3775585905846695e-24,1.0105109978580315e-09,0.6323133020178375,2.857824988794432e-17,0.0009891851411081107,3.705536107292597e-14
HTD,0.0002936654641507663,4.3775585905846695e-24,,1.3540314564140525e-23,5.804255129287595e-22,1.5653526154394805e-15,2.4112283719786035e-24,4.87713955037673e-24
TPR-TF,9.978210866453136e-09,1.0105109978580315e-09,1.3540314564140525e-23,,1.4382370111463535e-07,2.5662296451250023e-11,3.180507173858597e-10,6.632907663266548e-15
ISO-TPR-TF,6.050767634216224e-23,0.6323133020178375,5.804255129287595e-22,1.4382370111463535e-07,,1.477953941210405e-14,0.2865634579432388,2.6223166748730273e-11
TPR-AT,0.004857224117480438,2.857824988794432e-17,1.5653526154394805e-15,2.5662296451250023e-11,1.477953941210405e-14,,1.404513068723681e-17,0.43741829805842714
ISO-TPR-AT,2.855028605641932e-23,0.0009891851411081107,2.4112283719786035e-24,3.180507173858597e-10,0.2865634579432388,1.404513068723681e-17,,5.605784989518184e-14
TPR-W,0.0003001957735972008,3.705536107292597e-14,4.87713955037673e-24,6.632907663266548e-15,2.6223166748730273e-11,0.43741829805842714,5.605784989518184e-14,
