,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,2.566697702987041e-25,1.0109604000724142e-05,1.951862061718197e-21,4.298464894428789e-26,3.7047113895696866e-15,1.3517373799761115e-26,6.274327436117141e-21
GPAV,2.566697702987041e-25,,6.280833658306756e-26,3.112640753154523e-06,0.011748681523072037,2.965953719015512e-17,0.9487570529286128,4.775911288187846e-07
HTD,1.0109604000724142e-05,6.280833658306756e-26,,2.0321036869429577e-25,5.439482757268049e-26,1.5053561021579162e-21,1.059335975715609e-25,2.1977551111498347e-25
TPR-TF,1.951862061718197e-21,3.112640753154523e-06,2.0321036869429577e-25,,4.540650102408189e-09,1.1373808459700584e-10,3.0317935360882094e-06,1.0745329770656352e-05
ISO-TPR-TF,4.298464894428789e-26,0.011748681523072037,5.439482757268049e-26,4.540650102408189e-09,,1.9712510897652744e-18,0.03264601509523462,3.1479484984393406e-09
TPR-AT,3.7047113895696866e-15,2.965953719015512e-17,1.5053561021579162e-21,1.1373808459700584e-10,1.9712510897652744e-18,,1.0043972870087636e-16,0.00017751177159818843
ISO-TPR-AT,1.3517373799761115e-26,0.9487570529286128,1.059335975715609e-25,3.0317935360882094e-06,0.03264601509523462,1.0043972870087636e-16,,5.783611756915627e-07
TPR-W,6.274327436117141e-21,4.775911288187846e-07,2.1977551111498347e-25,1.0745329770656352e-05,3.1479484984393406e-09,0.00017751177159818843,5.783611756915627e-07,
