algo	FS	ONTO	hier1	hier2	p-value	hier1-hier2
ranger	FS	BP	ISO-TPR-TF	GPAV	0.00022	0.00039171815724552936
ranger	FS	BP	ISO-TPR-TF	HTD	0.0	0.05054649260784446
ranger	FS	BP	GPAV	HTD	0.0	0.05015477445059902
svmLinear2	FS	BP	flat	TPR-TF	0.0	-0.057085149224043494
svmLinear2	FS	BP	flat	ISO-TPR-TF	0.0	-0.06319152323283186
svmLinear2	FS	BP	flat	GPAV	0.0	-0.06518711505381167
svmLinear2	FS	BP	flat	HTD	0.0	0.04186319068324631
svmLinear2	FS	BP	TPR-TF	ISO-TPR-TF	0.0	-0.0061063740087884556
svmLinear2	FS	BP	TPR-TF	GPAV	0.0	-0.008101965829768147
svmLinear2	FS	BP	TPR-TF	HTD	0.0	0.09894833990728978
svmLinear2	FS	BP	ISO-TPR-TF	GPAV	0.00037	-0.0019955918209796906
svmLinear2	FS	BP	ISO-TPR-TF	HTD	0.0	0.10505471391607843
svmLinear2	FS	BP	GPAV	HTD	0.0	0.10705030573705783
treebag	FS	BP	flat	TPR-TF	0.0	-0.031513500677683985
treebag	FS	BP	flat	ISO-TPR-TF	0.0	-0.03147115636124673
treebag	FS	BP	flat	GPAV	0.0	-0.031647142078585065
treebag	FS	BP	flat	HTD	0.0	0.09483212750956192
treebag	FS	BP	TPR-TF	ISO-TPR-TF	0.0	4.234431643729858e-05
treebag	FS	BP	TPR-TF	GPAV	2e-05	-0.00013364140090108622
treebag	FS	BP	TPR-TF	HTD	0.0	0.1263456281872459
treebag	FS	BP	ISO-TPR-TF	GPAV	0.0	-0.0001759857173383848
treebag	FS	BP	ISO-TPR-TF	HTD	0.0	0.12630328387080855
treebag	FS	BP	GPAV	HTD	0.0	0.12647926958814693
xgbLinear	FS	BP	flat	TPR-TF	0.0	-0.03825129214179455
xgbLinear	FS	BP	flat	ISO-TPR-TF	0.0	-0.041902286737670734
xgbLinear	FS	BP	flat	GPAV	0.0	-0.042253268870026034
xgbLinear	FS	BP	TPR-TF	ISO-TPR-TF	0.0	-0.0036509945958761504
xgbLinear	FS	BP	TPR-TF	GPAV	0.0	-0.004001976728231549
xgbLinear	FS	BP	TPR-TF	HTD	0.0	0.03523291861875883
xgbLinear	FS	BP	ISO-TPR-TF	HTD	0.0	0.03888391321463494
xgbLinear	FS	BP	GPAV	HTD	0.0	0.039234895346990414
adaboost	PCA	BP	flat	TPR-TF	0.0	-0.050641854882497665
adaboost	PCA	BP	flat	ISO-TPR-TF	0.0	-0.05093989403975313
adaboost	PCA	BP	flat	GPAV	0.0	-0.0510839555751477
adaboost	PCA	BP	flat	HTD	0.0	0.0737775125891931
adaboost	PCA	BP	TPR-TF	ISO-TPR-TF	0.0	-0.00029803915725542304
adaboost	PCA	BP	TPR-TF	GPAV	0.0	-0.0004421006926500239
adaboost	PCA	BP	TPR-TF	HTD	0.0	0.12441936747169088
adaboost	PCA	BP	ISO-TPR-TF	GPAV	0.0	-0.00014406153539460082
adaboost	PCA	BP	ISO-TPR-TF	HTD	0.0	0.12471740662894595
adaboost	PCA	BP	GPAV	HTD	0.0	0.12486146816434078
C5.0	PCA	BP	flat	TPR-TF	0.0	-0.1361657749359038
C5.0	PCA	BP	flat	GPAV	0.0	-0.04823409213426657
C5.0	PCA	BP	flat	HTD	0.0	-0.14595717223216378
C5.0	PCA	BP	TPR-TF	ISO-TPR-TF	0.0	0.13240699475919102
C5.0	PCA	BP	TPR-TF	GPAV	0.0	0.08793168280163717
C5.0	PCA	BP	TPR-TF	HTD	0.0027	-0.009791397296260083
C5.0	PCA	BP	ISO-TPR-TF	GPAV	0.0	-0.04447531195755389
C5.0	PCA	BP	ISO-TPR-TF	HTD	0.0	-0.14219839205545085
C5.0	PCA	BP	GPAV	HTD	0.0	-0.09772308009789708
glmnet	PCA	BP	flat	TPR-TF	0.0	0.01065513296941911
glmnet	PCA	BP	flat	ISO-TPR-TF	0.0	0.007459518598523479
glmnet	PCA	BP	flat	GPAV	0.0	0.007509663116047408
glmnet	PCA	BP	flat	HTD	0.0	0.005648526987171231
glmnet	PCA	BP	TPR-TF	ISO-TPR-TF	0.00056	-0.0031956143708956122
glmnet	PCA	BP	TPR-TF	GPAV	0.00077	-0.0031454698533716964
glmnet	PCA	BP	TPR-TF	HTD	0.0	-0.005006605982247862
kknn	PCA	BP	flat	TPR-TF	0.0	-0.014254920488201211
kknn	PCA	BP	flat	ISO-TPR-TF	0.0	-0.014252789672190758
kknn	PCA	BP	flat	GPAV	0.0	-0.014276807423026878
kknn	PCA	BP	flat	HTD	0.0	0.04845081031372927
kknn	PCA	BP	TPR-TF	GPAV	4e-05	-2.1886934825654532e-05
kknn	PCA	BP	TPR-TF	HTD	0.0	0.06270573080193036
kknn	PCA	BP	ISO-TPR-TF	GPAV	0.0	-2.40177508360805e-05
kknn	PCA	BP	ISO-TPR-TF	HTD	0.0	0.0627035999859201
kknn	PCA	BP	GPAV	HTD	0.0	0.06272761773675618
lda	PCA	BP	flat	TPR-TF	0.00185	-0.001194221288442268
lda	PCA	BP	flat	HTD	0.0	-0.003446055958012141
lda	PCA	BP	TPR-TF	ISO-TPR-TF	0.0	0.00308888709114438
lda	PCA	BP	TPR-TF	GPAV	0.0	0.0007552737544817315
lda	PCA	BP	TPR-TF	HTD	0.0	-0.002251834669569878
lda	PCA	BP	ISO-TPR-TF	GPAV	0.0	-0.0023336133366626483
lda	PCA	BP	ISO-TPR-TF	HTD	0.0	-0.005340721760714255
lda	PCA	BP	GPAV	HTD	0.0	-0.0030071084240516047
LogitBoost	PCA	BP	flat	TPR-TF	0.0	-0.040677759833417954
LogitBoost	PCA	BP	flat	ISO-TPR-TF	0.0	-0.03902762849188959
LogitBoost	PCA	BP	flat	GPAV	0.0	-0.040545242248321185
LogitBoost	PCA	BP	flat	HTD	0.0	-0.01910721004560539
LogitBoost	PCA	BP	TPR-TF	ISO-TPR-TF	0.0	0.0016501313415283492
LogitBoost	PCA	BP	TPR-TF	HTD	0.0	0.0215705497878125
LogitBoost	PCA	BP	ISO-TPR-TF	GPAV	0.0	-0.0015176137564316193
LogitBoost	PCA	BP	ISO-TPR-TF	HTD	0.0	0.019920418446284154
LogitBoost	PCA	BP	GPAV	HTD	0.0	0.021438032202715816
mlp	PCA	BP	flat	TPR-TF	0.0	-0.14192739290597772
mlp	PCA	BP	flat	ISO-TPR-TF	0.0	0.03178729784457187
mlp	PCA	BP	flat	GPAV	0.0	-0.054179271873305714
mlp	PCA	BP	flat	HTD	0.0	-0.14858951712495347
mlp	PCA	BP	TPR-TF	ISO-TPR-TF	0.0	0.17371469075055013
mlp	PCA	BP	TPR-TF	GPAV	0.0	0.08774812103267188
mlp	PCA	BP	TPR-TF	HTD	0.0	-0.006662124218976151
mlp	PCA	BP	ISO-TPR-TF	GPAV	0.0	-0.08596656971787749
mlp	PCA	BP	ISO-TPR-TF	HTD	0.0	-0.18037681496952565
mlp	PCA	BP	GPAV	HTD	0.0	-0.09441024525164816
naive_bayes	PCA	BP	flat	TPR-TF	0.0	0.012407183044545612
naive_bayes	PCA	BP	flat	ISO-TPR-TF	0.0	0.02000969046623518
naive_bayes	PCA	BP	flat	GPAV	0.0	0.0157028364681162
naive_bayes	PCA	BP	flat	HTD	0.0	-0.018243253379966667
naive_bayes	PCA	BP	TPR-TF	ISO-TPR-TF	0.0	0.007602507421689563
naive_bayes	PCA	BP	TPR-TF	GPAV	0.0	0.0032956534235706117
naive_bayes	PCA	BP	TPR-TF	HTD	0.0	-0.030650436424512262
naive_bayes	PCA	BP	ISO-TPR-TF	GPAV	0.0	-0.004306853998118947
naive_bayes	PCA	BP	ISO-TPR-TF	HTD	0.0	-0.038252943846201794
naive_bayes	PCA	BP	GPAV	HTD	0.0	-0.033946089848082846
ranger	PCA	BP	flat	TPR-TF	0.0	-0.018501569392744933
ranger	PCA	BP	flat	ISO-TPR-TF	0.0	-0.01625804788732145
ranger	PCA	BP	flat	GPAV	0.0	-0.017937592904675358
