	flat	GPAV	HTD	TPR-TF	ISO-TPR-TF	TPR-AT	ISO-TPR-AT	TPR-W
flat	[0, 0]	[1, 12]	[2, 12]	[1, 12]	[3, 12]	[2, 12]	[3, 12]	[2, 12]
GPAV	[7, 12]	[0, 0]	[6, 12]	[2, 12]	[7, 12]	[7, 12]	[10, 12]	[5, 12]
HTD	[4, 12]	[3, 12]	[0, 0]	[3, 12]	[5, 12]	[4, 12]	[5, 12]	[4, 12]
TPR-TF	[8, 12]	[2, 12]	[7, 12]	[0, 0]	[5, 12]	[9, 12]	[6, 12]	[7, 12]
ISO-TPR-TF	[6, 12]	[0, 12]	[6, 12]	[1, 12]	[0, 0]	[4, 12]	[4, 12]	[2, 12]
TPR-AT	[6, 12]	[2, 12]	[4, 12]	[1, 12]	[3, 12]	[0, 0]	[2, 12]	[1, 12]
ISO-TPR-AT	[5, 12]	[0, 12]	[6, 12]	[0, 12]	[4, 12]	[4, 12]	[0, 0]	[2, 12]
TPR-W	[7, 12]	[1, 12]	[7, 12]	[1, 12]	[3, 12]	[4, 12]	[5, 12]	[0, 0]
