	flat	GPAV	HTD	TPR-TF	ISO-TPR-TF	TPR-AT	ISO-TPR-AT	TPR-W
flat	[0, 0]	[0, 12]	[7, 12]	[0, 12]	[0, 12]	[0, 12]	[0, 12]	[0, 12]
GPAV	[11, 12]	[0, 0]	[11, 12]	[9, 12]	[5, 12]	[10, 12]	[4, 12]	[10, 12]
HTD	[2, 12]	[0, 12]	[0, 0]	[0, 12]	[0, 12]	[0, 12]	[0, 12]	[0, 12]
TPR-TF	[11, 12]	[0, 12]	[11, 12]	[0, 0]	[0, 12]	[9, 12]	[0, 12]	[9, 12]
ISO-TPR-TF	[11, 12]	[0, 12]	[11, 12]	[7, 12]	[0, 0]	[10, 12]	[1, 12]	[10, 12]
TPR-AT	[8, 12]	[0, 12]	[10, 12]	[0, 12]	[0, 12]	[0, 0]	[0, 12]	[2, 12]
ISO-TPR-AT	[11, 12]	[0, 12]	[11, 12]	[4, 12]	[0, 12]	[10, 12]	[0, 0]	[7, 12]
TPR-W	[10, 12]	[0, 12]	[11, 12]	[0, 12]	[0, 12]	[5, 12]	[0, 12]	[0, 0]
