,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,1.4107460114741468e-17,0.0013331291256387609,9.023252922415095e-19,8.47902710777298e-17,0.06004043086926407,1.375038958805564e-17,5.209065706544474e-18
GPAV,1.4107460114741468e-17,,3.2298281892261706e-14,0.23616750849188184,0.0016313701447077718,2.5287073361756018e-09,0.0007261109999774232,0.48534909546561256
HTD,0.0013331291256387609,3.2298281892261706e-14,,2.039854291324695e-14,4.572756479438694e-14,1.1247769594847148e-19,2.882396686682667e-14,2.1072301301236436e-14
TPR-TF,9.023252922415095e-19,0.23616750849188184,2.039854291324695e-14,,0.04536920764581326,5.750744955845816e-09,0.18170573251714361,0.1711574117335103
ISO-TPR-TF,8.47902710777298e-17,0.0016313701447077718,4.572756479438694e-14,0.04536920764581326,,4.239145545561999e-09,0.0031465773938661405,1.836168504071169e-05
TPR-AT,0.06004043086926407,2.5287073361756018e-09,1.1247769594847148e-19,5.750744955845816e-09,4.239145545561999e-09,,2.7497672244875153e-09,3.276959838340341e-09
ISO-TPR-AT,1.375038958805564e-17,0.0007261109999774232,2.882396686682667e-14,0.18170573251714361,0.0031465773938661405,2.7497672244875153e-09,,0.37039497544143263
TPR-W,5.209065706544474e-18,0.48534909546561256,2.1072301301236436e-14,0.1711574117335103,1.836168504071169e-05,3.276959838340341e-09,0.37039497544143263,
