,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,1.3264820940029205e-20,2.3723173169113603e-17,2.332476919560872e-20,2.6906025274779755e-20,0.00010057742949868694,2.54118720184994e-20,2.6715323520338892e-20
GPAV,1.3264820940029205e-20,,1.742046196768842e-25,1.9424999430369836e-05,1.0640642176637458e-16,8.733047555634364e-21,2.216156186181144e-23,5.549513562231373e-08
HTD,2.3723173169113603e-17,1.742046196768842e-25,,1.2565721356832485e-25,1.2751971679552639e-25,1.1943265546435609e-11,1.2751971679552639e-25,1.2565721356832485e-25
TPR-TF,2.332476919560872e-20,1.9424999430369836e-05,1.2565721356832485e-25,,1.2989668538378393e-15,9.562190574057347e-21,1.5684076333161123e-11,3.1049226977377276e-05
ISO-TPR-TF,2.6906025274779755e-20,1.0640642176637458e-16,1.2751971679552639e-25,1.2989668538378393e-15,,1.1168471063886801e-20,1.4414667867721421e-12,4.25346841018251e-14
TPR-AT,0.00010057742949868694,8.733047555634364e-21,1.1943265546435609e-11,9.562190574057347e-21,1.1168471063886801e-20,,9.68682672382491e-21,9.43914050811093e-21
ISO-TPR-AT,2.54118720184994e-20,2.216156186181144e-23,1.2751971679552639e-25,1.5684076333161123e-11,1.4414667867721421e-12,9.68682672382491e-21,,1.038416870282761e-11
TPR-W,2.6715323520338892e-20,5.549513562231373e-08,1.2565721356832485e-25,3.1049226977377276e-05,4.25346841018251e-14,9.43914050811093e-21,1.038416870282761e-11,
