,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,8.182214884406342e-28,2.541683804363333e-10,8.389081673048303e-29,7.600255579850372e-27,2.662251889784908e-12,1.1907456461953098e-27,2.5721240967058674e-24
GPAV,8.182214884406342e-28,,3.5910334816666804e-09,0.9614133432514547,5.403696044843283e-07,4.821706613340678e-08,4.702371720635411e-09,0.8162229128800839
HTD,2.541683804363333e-10,3.5910334816666804e-09,,2.0306043577095132e-10,1.0654023535870464e-07,1.4123228100676235e-06,3.386790753992091e-09,7.212448560597689e-17
TPR-TF,8.389081673048303e-29,0.9614133432514547,2.0306043577095132e-10,,0.016814869169306385,3.246359618741678e-09,0.8512081832999664,0.9888810205602034
ISO-TPR-TF,7.600255579850372e-27,5.403696044843283e-07,1.0654023535870464e-07,0.016814869169306385,,1.1935569184993097e-06,2.9076840661432957e-06,0.5079960899564656
TPR-AT,2.662251889784908e-12,4.821706613340678e-08,1.4123228100676235e-06,3.246359618741678e-09,1.1935569184993097e-06,,4.7206008998996404e-08,2.781621272066565e-15
ISO-TPR-AT,1.1907456461953098e-27,4.702371720635411e-09,3.386790753992091e-09,0.8512081832999664,2.9076840661432957e-06,4.7206008998996404e-08,,0.8453113291378409
TPR-W,2.5721240967058674e-24,0.8162229128800839,7.212448560597689e-17,0.9888810205602034,0.5079960899564656,2.781621272066565e-15,0.8453113291378409,
