,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,0.005145448678548319,4.600739067334814e-16,9.299127300325284e-09,0.24853964092389058,2.968688569363009e-07,0.017788428056003138,5.719819783525146e-14
GPAV,0.005145448678548319,,1.0404154315205471e-12,6.700571773399067e-06,0.0023945538790738946,0.0001321052742747269,0.9522154009719079,2.888170479113814e-10
HTD,4.600739067334814e-16,1.0404154315205471e-12,,6.1608328845467e-05,1.4699049355893757e-17,8.207170006339942e-10,3.016187221923925e-12,0.04015912107052654
TPR-TF,9.299127300325284e-09,6.700571773399067e-06,6.1608328845467e-05,,1.0053564416882773e-09,0.014245896979976377,2.1139808811557733e-07,8.3230218968843e-09
ISO-TPR-TF,0.24853964092389058,0.0023945538790738946,1.4699049355893757e-17,1.0053564416882773e-09,,1.9065881543751182e-07,0.027348146384605095,1.6380707153636224e-15
TPR-AT,2.968688569363009e-07,0.0001321052742747269,8.207170006339942e-10,0.014245896979976377,1.9065881543751182e-07,,0.0002894419516629291,8.83488087677073e-09
ISO-TPR-AT,0.017788428056003138,0.9522154009719079,3.016187221923925e-12,2.1139808811557733e-07,0.027348146384605095,0.0002894419516629291,,7.261352455286202e-13
TPR-W,5.719819783525146e-14,2.888170479113814e-10,0.04015912107052654,8.3230218968843e-09,1.6380707153636224e-15,8.83488087677073e-09,7.261352455286202e-13,
