,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,4.593213641514334e-22,0.00014865294102608817,1.2842104766689168e-20,1.5381580959138246e-15,1.3156146947387477e-09,2.744842356949543e-14,5.830786786841175e-22
GPAV,4.593213641514334e-22,,1.731935687143246e-10,0.062060378185683274,8.553693513968422e-14,2.799266551292113e-08,4.627618750222714e-17,0.6149006386559921
HTD,0.00014865294102608817,1.731935687143246e-10,,9.072437703796464e-09,0.0008321936970637229,0.0036820882995083925,0.006521439520762621,1.1684713638365915e-11
TPR-TF,1.2842104766689168e-20,0.062060378185683274,9.072437703796464e-09,,0.00011282532575546381,1.3189582105954654e-07,0.0005048443577193947,0.7259142643110624
ISO-TPR-TF,1.5381580959138246e-15,8.553693513968422e-14,0.0008321936970637229,0.00011282532575546381,,0.07233974821203602,0.8160124108296087,4.483593768891233e-05
TPR-AT,1.3156146947387477e-09,2.799266551292113e-08,0.0036820882995083925,1.3189582105954654e-07,0.07233974821203602,,0.06702129706925496,6.34078356103912e-10
ISO-TPR-AT,2.744842356949543e-14,4.627618750222714e-17,0.006521439520762621,0.0005048443577193947,0.8160124108296087,0.06702129706925496,,7.65205826678927e-05
TPR-W,5.830786786841175e-22,0.6149006386559921,1.1684713638365915e-11,0.7259142643110624,4.483593768891233e-05,6.34078356103912e-10,7.65205826678927e-05,
