algo	onto	flat	HTD	GPAV	TPR-DAGthreshold.free	ISO-TPRthreshold.free	TPR-DAGthreshold	ISO-TPRthreshold	TPR-W
xgbLinear	BP	[0.8699, 0.002, 0]	[0.8729, 0.0021, 0.1552]	[0.9121, 0.0016, 0.0]	[0.9081, 0.0016, 0.0]	[0.9118, 0.0016, 0.0]	[0.8818, 0.0019, 0.0]	[0.9122, 0.0016, 0.0]	[0.9069, 0.0016, 0.0]
xgbLinear	MF	[0.8535, 0.0066, 0]	[0.8475, 0.0078, 0.8489]	[0.8875, 0.0059, 0.0]	[0.8848, 0.0061, 0.0]	[0.887, 0.006, 0.0]	[0.8563, 0.0071, 0.0009]	[0.8875, 0.0059, 0.0]	[0.8818, 0.0062, 0.0]
xgbLinear	CC	[0.86, 0.0053, 0]	[0.8593, 0.0058, 0.6258]	[0.8946, 0.0049, 0.0]	[0.8897, 0.0049, 0.0]	[0.8913, 0.005, 0.0]	[0.8652, 0.0054, 0.0]	[0.8946, 0.0049, 0.0]	[0.8912, 0.0047, 0.0]
