algo	onto	flat	HTD	GPAV	TPR-DAGthreshold.free	ISO-TPRthreshold.free	TPR-DAGthreshold	ISO-TPRthreshold	TPR-W
lda	BP	[0.7891, 0.0024, 0]	[0.7925, 0.0023, 0.0]	[0.7895, 0.0024, 0.133]	[0.7903, 0.0024, 0.0019]	[0.7872, 0.0024, 0.0168]	[0.792, 0.0023, 0.0]	[0.7893, 0.0024, 0.2606]	[0.793, 0.0023, 0.0]
lda	MF	[0.8042, 0.0065, 0]	[0.797, 0.0068, 0.8195]	[0.802, 0.007, 0.9396]	[0.8003, 0.0069, 0.3497]	[0.8006, 0.0071, 0.2787]	[0.797, 0.0068, 0.6804]	[0.8014, 0.0072, 0.9334]	[0.7996, 0.0067, 0.8074]
lda	CC	[0.8085, 0.0045, 0]	[0.8082, 0.0045, 0.0]	[0.809, 0.0046, 0.6416]	[0.8091, 0.0046, 0.2615]	[0.8064, 0.0047, 0.3393]	[0.8081, 0.0045, 0.0001]	[0.8087, 0.0046, 0.9287]	[0.8095, 0.0045, 0.0001]
