,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,2.16756098967521e-10,0.04254392636161357,0.07321237936920248,3.174580996748712e-07,4.200545558335613e-09,0.04426360476894073,0.01842225808300738
GPAV,2.16756098967521e-10,,0.16491569541119588,1.191624406601375e-06,0.017676679737711882,1.0154653584951471e-16,2.7636585534307122e-06,0.016467314428739464
HTD,0.04254392636161357,0.16491569541119588,,4.8755224226783065e-11,0.41634243553020733,1.7551425003211432e-27,0.02896607006226772,0.8395365175786554
TPR-TF,0.07321237936920248,1.191624406601375e-06,4.8755224226783065e-11,,7.250014942175901e-07,1.4229463021265679e-13,0.24409809210151412,1.300722272721386e-07
ISO-TPR-TF,3.174580996748712e-07,0.017676679737711882,0.41634243553020733,7.250014942175901e-07,,4.765785240546891e-15,0.0002586511761582331,0.03253684963730623
TPR-AT,4.200545558335613e-09,1.0154653584951471e-16,1.7551425003211432e-27,1.4229463021265679e-13,4.765785240546891e-15,,2.910102165661745e-10,2.417707578805085e-19
ISO-TPR-AT,0.04426360476894073,2.7636585534307122e-06,0.02896607006226772,0.24409809210151412,0.0002586511761582331,2.910102165661745e-10,,0.749219019232978
TPR-W,0.01842225808300738,0.016467314428739464,0.8395365175786554,1.300722272721386e-07,0.03253684963730623,2.417707578805085e-19,0.749219019232978,
