,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,7.029575931626699e-34,2.6080587829242964e-61,5.874433032088866e-13,1.7347664007791707e-49,0.0016895529049157764,6.457659998048539e-47,1.1843928600476405e-12
GPAV,7.029575931626699e-34,,1.2758910258917898e-101,7.464139771114619e-13,3.0259353993009364e-08,5.239040226837125e-46,0.00022366806453647943,7.989466344909143e-73
HTD,2.6080587829242964e-61,1.2758910258917898e-101,,1.2383288846572744e-81,6.172663192088047e-118,1.070152987378512e-57,5.439635348803789e-115,2.5727889343853825e-69
TPR-TF,5.874433032088866e-13,7.464139771114619e-13,1.2383288846572744e-81,,4.5633031797664334e-21,2.1156411220304866e-24,1.464773059985845e-19,2.9609930404662513e-43
ISO-TPR-TF,1.7347664007791707e-49,3.0259353993009364e-08,6.172663192088047e-118,4.5633031797664334e-21,,1.8617259177433228e-59,0.10575729191297227,2.2025695197538806e-96
TPR-AT,0.0016895529049157764,5.239040226837125e-46,1.070152987378512e-57,2.1156411220304866e-24,1.8617259177433228e-59,,1.8448236035203043e-57,0.04006298397940347
ISO-TPR-AT,6.457659998048539e-47,0.00022366806453647943,5.439635348803789e-115,1.464773059985845e-19,0.10575729191297227,1.8448236035203043e-57,,7.449435572546214e-89
TPR-W,1.1843928600476405e-12,7.989466344909143e-73,2.5727889343853825e-69,2.9609930404662513e-43,2.2025695197538806e-96,0.04006298397940347,7.449435572546214e-89,
