,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,3.0251947168441613e-164,4.678815121346326e-99,2.6162829344058126e-142,1.2656472103175224e-151,4.690912754925036e-34,1.5702678851304582e-161,7.932153447032342e-93
GPAV,3.0251947168441613e-164,,1.4857493672059772e-186,1.0251503937239638e-29,0.00036878973102764105,2.159303134740658e-177,7.298620238346181e-19,2.4523374179283617e-112
HTD,4.678815121346326e-99,1.4857493672059772e-186,,3.37793060884848e-187,4.727014241678527e-177,4.105541513440917e-116,4.169003136127775e-184,5.6094171024535854e-188
TPR-TF,2.6162829344058126e-142,1.0251503937239638e-29,3.37793060884848e-187,,7.714908759510924e-38,2.2006518757310333e-172,3.3601990599562676e-27,1.7369724912286927e-98
ISO-TPR-TF,1.2656472103175224e-151,0.00036878973102764105,4.727014241678527e-177,7.714908759510924e-38,,1.243829519631502e-163,7.365819777953228e-06,2.9973404455517474e-81
TPR-AT,4.690912754925036e-34,2.159303134740658e-177,4.105541513440917e-116,2.2006518757310333e-172,1.243829519631502e-163,,2.843913939144807e-174,6.049698425974669e-172
ISO-TPR-AT,1.5702678851304582e-161,7.298620238346181e-19,4.169003136127775e-184,3.3601990599562676e-27,7.365819777953228e-06,2.843913939144807e-174,,9.587869980307547e-106
TPR-W,7.932153447032342e-93,2.4523374179283617e-112,5.6094171024535854e-188,1.7369724912286927e-98,2.9973404455517474e-81,6.049698425974669e-172,9.587869980307547e-106,
