,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,2.686744225205686e-141,2.7578351097382274e-204,1.9589810868220498e-141,2.329450950012723e-138,2.691367472456969e-15,7.318147090142271e-140,8.358556408776018e-141
GPAV,2.686744225205686e-141,,3.410877801029576e-210,0.964407413707006,2.065454693712064e-110,8.287196411208509e-129,1.4236360741632085e-93,1.4187583189416653e-12
HTD,2.7578351097382274e-204,3.410877801029576e-210,,3.410882002224977e-210,3.410884102825296e-210,5.926027559904999e-206,3.410886203426329e-210,3.4108630968841924e-210
TPR-TF,1.9589810868220498e-141,0.964407413707006,3.410882002224977e-210,,5.683655097124052e-42,6.368743487225196e-129,3.0925394303569145e-19,2.2481830946989784e-27
ISO-TPR-TF,2.329450950012723e-138,2.065454693712064e-110,3.410884102825296e-210,5.683655097124052e-42,,1.5158437988285465e-128,2.903416213570058e-58,4.0734063893245875e-15
TPR-AT,2.691367472456969e-15,8.287196411208509e-129,5.926027559904999e-206,6.368743487225196e-129,1.5158437988285465e-128,,2.044585906238169e-128,2.992014061630547e-128
ISO-TPR-AT,7.318147090142271e-140,1.4236360741632085e-93,3.410886203426329e-210,3.0925394303569145e-19,2.903416213570058e-58,2.044585906238169e-128,,0.06575211710957538
TPR-W,8.358556408776018e-141,1.4187583189416653e-12,3.4108630968841924e-210,2.2481830946989784e-27,4.0734063893245875e-15,2.992014061630547e-128,0.06575211710957538,
