,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,1.105653365630311e-167,0.9210309247299195,1.0250474486668848e-133,1.0138409925378178e-163,2.129398640481967e-111,1.1925065091772724e-157,5.404001657808982e-137
GPAV,1.105653365630311e-167,,3.3508107136530985e-116,4.022551245852085e-90,1.5782870236411198e-30,1.7216146719737645e-34,1.2775841433566353e-51,6.72272747565265e-68
HTD,0.9210309247299195,3.3508107136530985e-116,,2.0022872286837072e-95,3.9555761722945516e-114,3.1683520726591333e-137,5.952569049161493e-107,6.651900969677087e-98
TPR-TF,1.0250474486668848e-133,4.022551245852085e-90,2.0022872286837072e-95,,1.728851316818723e-84,1.2832163410071294e-10,6.984795160855292e-32,0.05126389894688647
ISO-TPR-TF,1.0138409925378178e-163,1.5782870236411198e-30,3.9555761722945516e-114,1.728851316818723e-84,,4.380021738795142e-31,8.81683720172366e-20,3.346929863838514e-58
TPR-AT,2.129398640481967e-111,1.7216146719737645e-34,3.1683520726591333e-137,1.2832163410071294e-10,4.380021738795142e-31,,1.1729742964931714e-24,7.663928694549292e-12
ISO-TPR-AT,1.1925065091772724e-157,1.2775841433566353e-51,5.952569049161493e-107,6.984795160855292e-32,8.81683720172366e-20,1.1729742964931714e-24,,2.899080351423522e-23
TPR-W,5.404001657808982e-137,6.72272747565265e-68,6.651900969677087e-98,0.05126389894688647,3.346929863838514e-58,7.663928694549292e-12,2.899080351423522e-23,
