,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,1.005839094986195e-182,3.1699505972134534e-05,4.122543789126116e-173,9.749261287291692e-138,2.7037481405260092e-107,4.187278107252312e-142,3.86667820688071e-170
GPAV,1.005839094986195e-182,,1.8970241203088246e-167,0.24632460798027678,1.2275657216919283e-63,2.638866666909848e-38,2.781802569519269e-44,9.144905801443468e-17
HTD,3.1699505972134534e-05,1.8970241203088246e-167,,3.635883251353853e-169,4.1364213034205336e-125,4.9678677945438034e-138,3.819170549519094e-130,1.6432899061708385e-163
TPR-TF,4.122543789126116e-173,0.24632460798027678,3.635883251353853e-169,,1.3288720451952532e-39,5.651069911201962e-54,7.376073470137988e-34,4.996348829676353e-15
ISO-TPR-TF,9.749261287291692e-138,1.2275657216919283e-63,4.1364213034205336e-125,1.3288720451952532e-39,,0.1004908381420511,0.02379922842700801,1.0516440818997535e-05
TPR-AT,2.7037481405260092e-107,2.638866666909848e-38,4.9678677945438034e-138,5.651069911201962e-54,0.1004908381420511,,0.08585491130559124,1.6738979328862257e-25
ISO-TPR-AT,4.187278107252312e-142,2.781802569519269e-44,3.819170549519094e-130,7.376073470137988e-34,0.02379922842700801,0.08585491130559124,,1.1660806420175317e-05
TPR-W,3.86667820688071e-170,9.144905801443468e-17,1.6432899061708385e-163,4.996348829676353e-15,1.0516440818997535e-05,1.6738979328862257e-25,1.1660806420175317e-05,
