,flat,GPAV,HTD,TPR-TF,ISO-TPR-TF,TPR-AT,ISO-TPR-AT,TPR-W
flat,,1.0504844353934634e-18,1.8359061430195835e-53,1.774392991716717e-12,4.7002512510104884e-32,0.00012594671515870904,1.3245583636744002e-27,3.305320675608191e-19
GPAV,1.0504844353934634e-18,,5.1518971986657346e-83,3.0509753885541696e-15,2.8333086544980767e-53,4.426107264966709e-50,3.531103732585207e-55,7.348356882551448e-07
HTD,1.8359061430195835e-53,5.1518971986657346e-83,,1.2972880836130701e-78,7.170391643006583e-95,1.4825177503440816e-43,2.527434353696287e-91,1.376322600148396e-98
TPR-TF,1.774392991716717e-12,3.0509753885541696e-15,1.2972880836130701e-78,,1.8991181886824645e-46,7.433110797502399e-40,3.9042166913958434e-35,0.2741538714896682
ISO-TPR-TF,4.7002512510104884e-32,2.8333086544980767e-53,7.170391643006583e-95,1.8991181886824645e-46,,4.2942655455697e-63,4.946649422051516e-05,1.0367546276151474e-20
TPR-AT,0.00012594671515870904,4.426107264966709e-50,1.4825177503440816e-43,7.433110797502399e-40,4.2942655455697e-63,,2.389633962490083e-62,8.706151468179037e-34
ISO-TPR-AT,1.3245583636744002e-27,3.531103732585207e-55,2.527434353696287e-91,3.9042166913958434e-35,4.946649422051516e-05,2.389633962490083e-62,,6.407140868319479e-16
TPR-W,3.305320675608191e-19,7.348356882551448e-07,1.376322600148396e-98,0.2741538714896682,1.0367546276151474e-20,8.706151468179037e-34,6.407140868319479e-16,
